iter	Passed	Remaining
1111	105837	179694
1112	105939	179611
1113	106041	179528
1114	106132	179425
1115	106213	179306
1116	106308	179211
1117	106398	179107
1118	106489	179005
1119	106582	178906
1120	106678	178813
1121	106770	178711
1122	106852	178594
1123	106947	178499
1124	107029	178381
1125	107129	178296
1126	107214	178183
1127	107310	178089
1128	107396	177979
1129	107487	177877
1130	107580	177778
1131	107664	177665
1132	107756	177565
1133	107853	177472
1134	107936	177358
1135	108030	177260
1136	108111	177142
1137	108206	177047
1138	108303	176955
1139	108383	176836
1140	108475	176736
1141	108563	176629
1142	108654	176527
1143	108750	176434
1144	108837	176325
1145	108934	176234
1146	109016	176118
1147	109107	176016
1148	109200	175918
1149	109299	175830
1150	109395	175735
1151	109484	175631
1152	109569	175520
1153	109657	175414
1154	109751	175317
1155	109836	175206
1156	109932	175112
1157	110027	175018
1158	110140	174951
1159	110233	174853
1160	110340	174776
1161	110430	174674
1162	110508	174552
1163	110603	174456
1164	110697	174360
1165	110797	174273
1166	110886	174168
1167	110970	174056
1168	111048	173935
1169	111131	173820
1170	111214	173707
1171	111304	173604
1172	111383	173484
1173	111484	173399
1174	111572	173294
1175	111652	173174
1176	111753	173089
1177	111851	173000
1178	111949	172909
1179	112051	172824
1180	112131	172707
1181	112211	172589
1182	112296	172479
1183	112384	172373
1184	112483	172284
1185	112566	172171
1186	112645	172052
1187	112721	171929
1188	112806	171818
1189	112888	171704
1190	112989	171619
1191	113083	171522
1192	113167	171411
1193	113258	171310
1194	113361	171227
1195	113448	171121
1196	113538	171019
1197	113643	170940
1198	113728	170829
1199	113824	170736
1200	113904	170619
1201	113988	170508
1202	114074	170400
1203	114170	170307
1204	114257	170200
1205	114355	170111
1206	114438	169998
1207	114533	169903
1208	114634	169818
1209	114719	169708
1210	114798	169590
1211	114877	169472
1212	114977	169386
1213	115068	169286
1214	115154	169177
1215	115240	169069
1216	115336	168976
1217	115425	168874
1218	115513	168768
1219	115605	168670
1220	115715	168597
1221	115809	168501
1222	115886	168381
1223	115977	168281
1224	116068	168180
1225	116152	168070
1226	116256	167988
1227	116346	167887
1228	116424	167769
1229	116516	167669
1230	116596	167554
1231	116691	167459
1232	116785	167364
1233	116832	167201
1234	116920	167097
1235	117004	166986
1236	117084	166872
1237	117163	166754
1238	117255	166655
1239	117340	166548
1240	117426	166441
1241	117526	166353
1242	117635	166279
1243	117733	166189
1244	117809	166068
1245	117891	165956
1246	117970	165839
1247	118053	165728
1248	118146	165632
1249	118232	165525
1250	118311	165409
1251	118393	165297
1252	118488	165203
1253	118588	165115
1254	118685	165025
1255	118765	164910
1256	118859	164814
1257	118951	164716
1258	119048	164624
1259	119134	164519
1260	119230	164426
1261	119296	164293
1262	119390	164196
1263	119483	164101
1264	119580	164008
1265	119676	163916
1266	119771	163823
1267	119874	163740
1268	119959	163632
1269	120041	163521
1270	120070	163336
1271	120156	163231
1272	120260	163150
1273	120356	163057
1274	120459	162974
1275	120561	162890
1276	120656	162795
1277	120743	162691
1278	120824	162579
1279	120909	162472
1280	121007	162381
1281	121094	162278
1282	121191	162186
1283	121288	162095
1284	121388	162009
1285	121448	161868
1286	121545	161777
1287	121640	161683
1288	121734	161588
1289	121816	161477
1290	121904	161374
1291	121996	161276
1292	122081	161169
1293	122164	161060
1294	122251	160957
1295	122344	160859
1296	122429	160754
1297	122531	160669
1298	122621	160568
1299	122705	160461
1300	122819	160392
1301	122903	160284
1302	123014	160210
1303	123098	160103
1304	123191	160007
1305	123278	159902
1306	123362	159795
1307	123460	159705
1308	123558	159615
1309	123658	159528
1310	123759	159442
1311	123861	159357
1312	123958	159267
1313	124048	159167
1314	124143	159073
1315	124239	158981
1316	124330	158882
1317	124430	158795
1318	124521	158696
1319	124610	158595
1320	124712	158510
1321	124791	158397
1322	124877	158291
1323	124962	158185
1324	125053	158086
1325	125141	157983
1326	125234	157887
1327	125334	157801
1328	125447	157729
1329	125545	157639
1330	125638	157543
1331	125731	157447
1332	125815	157340
1333	125910	157246
1334	126000	157146
1335	126100	157059
1336	126199	156970
1337	126295	156878
1338	126379	156770
1339	126470	156672
1340	126560	156572
1341	126644	156465
1342	126733	156364
1343	126824	156265
1344	126915	156167
1345	127020	156085
1346	127117	155995
1347	127219	155910
1348	127307	155807
1349	127390	155699
1350	127481	155600
1351	127573	155504
1352	127657	155396
1353	127763	155316
1354	127855	155219
1355	127946	155121
1356	128044	155031
1357	128127	154922
1358	128216	154822
1359	128370	154799
1360	128465	154705
1361	128551	154601
1362	128649	154511
1363	128746	154420
1364	128842	154328
1365	128942	154240
1366	129060	154174
1367	129154	154079
1368	129214	153943
1369	129293	153830
1370	129373	153718
1371	129463	153619
1372	129560	153528
1373	129638	153414
1374	129729	153316
1375	129824	153222
1376	129866	153067
1377	129963	152975
1378	130062	152887
